Place,Image,Link to menu
Burger King,http://hackthemenu.com/wp-content/uploads/2013/10/burger-king-logo-160.jpg,http://hackthemenu.com/burger-king/secret-menu/
Chick-fil-A,http://hackthemenu.com/wp-content/uploads/2013/10/chick-fil-a-logo-160.jpg,http://hackthemenu.com/chick-fil-a/secret-menu/
Chipotle,http://hackthemenu.com/wp-content/uploads/2013/10/chipotle-logo-160.jpg,http://hackthemenu.com/chipotle/secret-menu/
Dairy Queen,http://hackthemenu.com/wp-content/uploads/2013/10/dairy-queen-logo-160.jpg,http://hackthemenu.com/dairy-queen/secret-menu/
Five Guys,http://hackthemenu.com/wp-content/uploads/2014/04/five-guys-logo-160.jpg,http://hackthemenu.com/five-guys/secret-menu/
In-N-Out,http://hackthemenu.com/wp-content/uploads/2013/10/in-n-out-logo-160.jpg,http://hackthemenu.com/in-n-out/secret-menu/
Jack In The Box,http://hackthemenu.com/wp-content/uploads/2013/10/jack-in-the-box-logo-160.jpg,http://hackthemenu.com/jack-in-the-box/secret-menu/
Jamba Juice,http://hackthemenu.com/wp-content/uploads/2013/10/jamba-juice-logo-160.jpg,http://hackthemenu.com/jamba-juice/secret-menu/
KFC,http://hackthemenu.com/wp-content/uploads/2013/10/kfc-logo-160.jpg,http://hackthemenu.com/kfc/secret-menu/
McDonalds,http://hackthemenu.com/wp-content/uploads/2013/10/mcdonalds-logo-160.jpg,http://hackthemenu.com/mcdonalds/secret-menu/
Panera Bread,http://hackthemenu.com/wp-content/uploads/2013/11/panera-bread-logo-160.jpg,http://hackthemenu.com/panera-bread/secret-menu/
Sonic,http://hackthemenu.com/wp-content/uploads/2013/10/sonic-logo-160.jpg,http://hackthemenu.com/sonic/secret-menu/
Starbucks,http://hackthemenu.com/wp-content/uploads/2013/10/starbucks-logo-160.jpg,http://hackthemenu.com/starbucks/secret-menu/
Subway,http://hackthemenu.com/wp-content/uploads/2013/10/subway-logo-160.jpg,http://hackthemenu.com/subway/secret-menu/
Taco Bell,http://hackthemenu.com/wp-content/uploads/2013/10/taco-bell-logo-160.jpg,http://hackthemenu.com/taco-bell/secret-menu/
