Country,Flag,Ambush Attack Deaths,Beheading Attack Deaths,Bomb Attack Deaths,Car bomb Attack Deaths,Execution Attack Deaths,IED Attack Deaths,Other Attack Deaths,Shelling Attack Deaths,Shooting Attack Deaths,Stabbing Attack Deaths,Suicide bomb Attack Deaths,Unknown Attack Deaths,Total Deaths,Civilian Deaths,Jihadist Deaths,Military Deaths,Official Deaths,Police Deaths,Unknown Deaths,Total Attacks,Source
Afghanistan,http://www.crwflags.com/fotw/images/a/af.gif,173,,45,15,2,120,,19,145,,169,94,782,124,248,285,21,95,9,152,http://icsr.info/wp-content/uploads/2014/12/ICSR-REPORT-The-New-Jihadism-A-Global-Snapshot.pdf
Cameroon,http://www.crwflags.com/fotw/images/c/cm.gif,,,,,,1,,,14,,,,15,3,10,2,0,0,0,3,http://icsr.info/wp-content/uploads/2014/12/ICSR-REPORT-The-New-Jihadism-A-Global-Snapshot.pdf
Egypt,http://www.crwflags.com/fotw/images/e/eg.gif,,,,,,,,,,,,5,5,0,0,5,0,0,0,2,http://icsr.info/wp-content/uploads/2014/12/ICSR-REPORT-The-New-Jihadism-A-Global-Snapshot.pdf
India,http://www.crwflags.com/fotw/images/i/in.gif,3,,,,,,,,14,,,,17,5,5,3,0,0,0,2,http://icsr.info/wp-content/uploads/2014/12/ICSR-REPORT-The-New-Jihadism-A-Global-Snapshot.pdf
Iraq,http://www.crwflags.com/fotw/images/i/iq.gif,229,,36,264,301,171,3,139,357,,47,223,1770,815,292,562,13,33,55,233,http://icsr.info/wp-content/uploads/2014/12/ICSR-REPORT-The-New-Jihadism-A-Global-Snapshot.pdf
Kenya,http://www.crwflags.com/fotw/images/k/ke.gif,,,,,,,,,49,,,1,50,48,0,0,0,2,0,4,http://icsr.info/wp-content/uploads/2014/12/ICSR-REPORT-The-New-Jihadism-A-Global-Snapshot.pdf
Libya,http://www.crwflags.com/fotw/images/l/ly.gif,3,4,,,,7,,,23,,,2,39,3,0,36,0,0,0,12,http://icsr.info/wp-content/uploads/2014/12/ICSR-REPORT-The-New-Jihadism-A-Global-Snapshot.pdf
Niger,http://www.crwflags.com/fotw/images/n/ne.gif,,,,,,,,,1,,,,1,0,0,1,0,0,0,1,http://icsr.info/wp-content/uploads/2014/12/ICSR-REPORT-The-New-Jihadism-A-Global-Snapshot.pdf
Nigeria,http://www.crwflags.com/fotw/images/n/ng.gif,25,,45,,15,103,,,204,48,310,36,786,681,59,28,15,3,0,27,http://icsr.info/wp-content/uploads/2014/12/ICSR-REPORT-The-New-Jihadism-A-Global-Snapshot.pdf
Pakistan,http://www.crwflags.com/fotw/images/p/pk.gif,,,6,,,29,,21,91,,60,5,212,70,76,35,11,13,7,35,http://icsr.info/wp-content/uploads/2014/12/ICSR-REPORT-The-New-Jihadism-A-Global-Snapshot.pdf
Philippines,http://www.crwflags.com/fotw/images/p/ph.gif,,,,,,,,4,46,,,,50,12,24,14,0,0,0,9,http://icsr.info/wp-content/uploads/2014/12/ICSR-REPORT-The-New-Jihadism-A-Global-Snapshot.pdf
Somalia,http://www.crwflags.com/fotw/images/s/so.gif,73,,6,2,8,34,,,90,,,3,216,30,18,145,22,1,0,37,http://icsr.info/wp-content/uploads/2014/12/ICSR-REPORT-The-New-Jihadism-A-Global-Snapshot.pdf
Syria,http://www.crwflags.com/fotw/images/s/sy.gif,76,34,1,8,50,22,26,12,367,1,42,54,693,151,166,372,2,0,2,110,http://icsr.info/wp-content/uploads/2014/12/ICSR-REPORT-The-New-Jihadism-A-Global-Snapshot.pdf
Yemen,http://www.crwflags.com/fotw/images/y/ye.gif,84,12,2,18,,68,,9,177,,22,18,410,138,37,235,0,0,0,37,http://icsr.info/wp-content/uploads/2014/12/ICSR-REPORT-The-New-Jihadism-A-Global-Snapshot.pdf
