ID,Nationality,2013 Attacks,2014 Attacks,Total Attacks
Antigua and Barbuda Vessel,Antigua and Barbuda,7,4,11
Bahamas Vessel,Bahamas,7,3,10
Barbados Vessel,Barbados,1,,1
Bermuda Vessel,Bermuda,,1,1
Cayman Islands Vessel,Cayman Islands,2,,2
Chile Vessel,Chile,1,,1
China Vessel,China,2,1,3
Comoros Vessel,Comoros,1,,1
Croatia Vessel,Croatia,1,,1
Cyprus Vessel,Cyprus,1,2,3
Denmark Vessel,Denmark,6,3,9
Dominica Vessel,Dominica,,1,1
France Vessel,France,1,,1
Gabon Vessel,Gabon,1,,1
Ghana Vessel,Ghana,,1,1
Gibraltar Vessel,Gibraltar,3,1,4
Greece Vessel,Greece,3,1,4
Honduras Vessel,Honduras,,2,2
Hong Kong Vessel,Hong Kong,20,11,31
India Vessel,India,4,3,7
Iran Vessel,Iran,1,,1
Isle of Man Vessel,Isle of Man,2,2,4
Italy Vessel,Italy,4,6,10
Kiribati Vessel,Kiribati,1,1,2
Liberia Vessel,Liberia,41,15,56
Libya Vessel,Libya,1,,1
Luxemburg Vessel,Luxemburg,2,,2
Malaysia Vessel,Malaysia,10,8,18
Malta Vessel,Malta,8,3,11
Marshall Islands Vessel,Marshall Islands,30,23,53
Mongolia Vessel,Mongolia,,2,2
Netherlands Vessel,Netherlands,2,6,8
Nigeria Vessel,Nigeria,2,2,4
Norway Vessel,Norway,4,3,7
Panama Vessel,Panama,32,32,64
Philippines Vessel,Philippines,2,3,5
Saudi Arabia Vessel,Saudi Arabia,,2,2
Sierra Leone Vessel,Sierra Leone,1,1,2
Singapore Vessel,Singapore,38,23,61
South Korea Vessel,South Korea,,1,1
St Vincent and the Grenadines Vessel,St Vincent and the Grenadines,4,,4
St. Kitts and Nevis Vessel,St. Kitts and Nevis,,1,1
Switzerland Vessel,Switzerland,1,,1
Thailand Vessel,Thailand,5,5,10
Turkey Vessel,Turkey,2,,2
United Kingdom Vessel,United Kingdom,2,,2
USA Vessel,USA,2,2,4
Vanuatu Vessel,Vanuatu,1,,1
Vietnam Vessel,Vietnam,1,3,4
