Country,Number of Encounters,NATO Member?,Flag
Canada,5,Yes,http://upload.wikimedia.org/wikipedia/en/thumb/c/cf/Flag_of_Canada.svg/1280px-Flag_of_Canada.svg.png
Denmark,2,Yes,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/1280px-Flag_of_Denmark.svg.png
Estonia,7,Yes,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/2000px-Flag_of_Estonia.svg.png
Finland,3,No,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/2000px-Flag_of_Finland.svg.png
Japan,1,No,http://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/1280px-Flag_of_Japan.svg.png
Latvia,1,Yes,http://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg
Lithuania,3,Yes,http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/2000px-Flag_of_Lithuania.svg.png
NATO (Unspecified),6,Yes,http://img4.wikia.nocookie.net/__cb20110416213423/military/images/5/57/NATO_flag.jpg
Netherlands,1,Yes,http://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg
Poland,1,Yes,http://upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/1280px-Flag_of_Poland.svg.png
Sweden,6,No,http://upload.wikimedia.org/wikipedia/en/archive/4/4c/20140526092805!Flag_of_Sweden.svg
United Kingdom,6,Yes,http://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg
United States of America,11,Yes,http://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
